cdmTableName,cdmFieldName,conceptId,conceptName,wrongDomain,cdmWrongFieldName,cdmValueFieldName,checkAllowedValues,checkUnit
observation,observation_concept_id,2000001119,AIHA or ITP poorly responsive to corticosteroids or other standard therapy,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000001133,Reason for non-eligibility for SCT,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000001133,Reason for non-eligibility for SCT,,,value_as_concept_id,Yes,
observation,observation_concept_id,2000001140,Non-eligible for SCT due to comorbidities,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000001141,Non-eligible for SCT due to high biological age,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000001143,Non-eligible for SCT due to other reason,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000001142,Non-eligible for SCT due to poor general health,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000001167,(Highly) aggressive disease,measurement,measurement_concept_id,,,
measurement,measurement_concept_id,2000001121,Amp1q [Identifier] in bone marrow by FISH,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000001121,Amp1q [Identifier] in bone marrow by FISH,,,value_as_concept_id,Yes,
observation,observation_concept_id,2000001103,Bone marrow infiltration,measurement,measurement_concept_id,,,
measurement,measurement_concept_id,2000001070,CLL - MRD assessment using ASO - PCR on bone marrow,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000001070,CLL - MRD assessment using ASO - PCR on bone marrow,,,value_as_concept_id,Yes,
measurement,measurement_concept_id,2000001069,CLL - MRD assessment using ASO - PCR on peripheral blood,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000001069,CLL - MRD assessment using ASO - PCR on peripheral blood,,,value_as_concept_id,Yes,
measurement,measurement_concept_id,2000001068,CLL - MRD assessment using CDR3 - PCR on bone marrow,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000001068,CLL - MRD assessment using CDR3 - PCR on bone marrow,,,value_as_concept_id,Yes,
measurement,measurement_concept_id,2000001067,CLL - MRD assessment using CDR3 - PCR on peripheral blood,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000001067,CLL - MRD assessment using CDR3 - PCR on peripheral blood,,,value_as_concept_id,Yes,
measurement,measurement_concept_id,2000001066,CLL - MRD assessment using flow cytometry on bone marrow,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000001066,CLL - MRD assessment using flow cytometry on bone marrow,,,value_as_concept_id,Yes,
measurement,measurement_concept_id,2000001065,CLL - MRD assessment using flow cytometry on peripheral blood,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000001065,CLL - MRD assessment using flow cytometry on peripheral blood,,,value_as_concept_id,Yes,
observation,observation_concept_id,2000001064,CLL related infection,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000001074,Chemotherapy changed - Adverse event of therapy,measurement,measurement_concept_id,,,
measurement,measurement_concept_id,21494134,Chromosome region 1q21 duplication in Bone marrow by FISH,observation,observation_concept_id,,,
observation,observation_concept_id,2000001185,Daratumumab dose split over 2 days,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000001185,Daratumumab dose split over 2 days,,,value_as_concept_id,Yes,
measurement,measurement_concept_id,2000001082,Del 8q24 [%] in bone marrow by FISH,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000001082,Del 8q24 [%] in bone marrow by FISH,,,unit_concept_id,,Yes
observation,observation_concept_id,2000001166,Disease aggressiveness at treatment decision,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000001166,Disease aggressiveness at treatment decision,,,value_as_concept_id,Yes,
observation,observation_concept_id,2000001169,Indolent disease,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000001168,Intermediately aggressive disease,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000001175,Doubling of M-protein within 2 months,measurement,measurement_concept_id,,,
observation,observation_concept_id,4175026,ECOG Performance status - Grade 0,measurement,measurement_concept_id,,,
observation,observation_concept_id,4173614,ECOG Performance status - Grade 1,measurement,measurement_concept_id,,,
observation,observation_concept_id,4172043,ECOG Performance status - Grade 2,measurement,measurement_concept_id,,,
observation,observation_concept_id,4174241,ECOG Performance status - Grade 3,measurement,measurement_concept_id,,,
observation,observation_concept_id,4174251,ECOG Performance status - Grade 4,measurement,measurement_concept_id,,,
measurement,measurement_concept_id,4167763,ECOG scale for physical assessment,observation,observation_concept_id,,,
measurement,measurement_concept_id,4167763,ECOG scale for physical assessment,,,value_as_concept_id,Yes,
observation,observation_concept_id,2000001132,Eligibility for stem cell therapy,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000001132,Eligibility for stem cell therapy,,,value_as_concept_id,Yes,
measurement,measurement_concept_id,2000001089,FASAY,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000001089,FASAY,,,value_as_concept_id,Yes,
measurement,measurement_concept_id,3049502,IgVH gene targeted mutation analysis in Blood or Tissue by Molecular genetics method,observation,observation_concept_id,,,
observation,observation_concept_id,2000001128,Initial stem cell mobilization successful,measurement,measurement_concept_id,,,
measurement,measurement_concept_id,4169154,Karnofsky performance status,observation,observation_concept_id,,,
measurement,measurement_concept_id,4196111,Karyotype Determination,observation,observation_concept_id,,,
measurement,measurement_concept_id,4196111,Karyotype Determination,,,value_as_concept_id,Yes,
observation,observation_concept_id,2000001120,Meeting the criteria for treatment initiation,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000001120,Meeting the criteria for treatment initiation,,,value_as_concept_id,Yes,
observation,observation_concept_id,2000001176,New or enlarged osteolyses,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000001131,Number of gathered transplants,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000001104,Number of lymph node areas affected,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000001129,Overall stem cell mobilization successful,measurement,measurement_concept_id,,,
observation,observation_concept_id,4077864,Progression,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000001174,Reason for new treatment line,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000001165,Reason for not receiving SCT after being considered eligible,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000001165,Reason for not receiving SCT after being considered eligible,,,value_as_concept_id,Yes,
observation,observation_concept_id,2000001138,Not eligible after further examination,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000001136,No benefit is expected from further or modified induction therapy,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000001134,Ongoing induction therapy,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000001135,Patient decision,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000001137,Patient failed to show up at transplantation center,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000001139,SCT not received for other reason,measurement,measurement_concept_id,,,
measurement,measurement_concept_id,2000001102,Size of lymph node bulk,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000001102,Size of lymph node bulk,,,unit_concept_id,,Yes
observation,observation_concept_id,2000000001,First line chemotherapy,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000000002,Chemotherapy changed - relapse,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000000003,Chemotherapy changed - Refractory disease,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000000004,Chemotherapy changed - other reason,measurement,measurement_concept_id,,,
measurement,measurement_concept_id,2000000008,International staging system stage,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000008,International staging system stage,,,value_as_concept_id,Yes,
measurement,measurement_concept_id,2000000009,Durie-Salmon staging system stage,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000009,Durie-Salmon staging system stage,,,value_as_concept_id,Yes,
observation,observation_concept_id,2000000014,completed study,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000000015,censorship,measurement,measurement_concept_id,,,
measurement,measurement_concept_id,2000000016,Del(17)p [identifier] in bone marrow,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000016,Del(17)p [identifier] in bone marrow,,,value_as_concept_id,Yes,
measurement,measurement_concept_id,2000000017,Del(17)p cells/100 cells in bone marrow,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000017,Del(17)p cells/100 cells in bone marrow,,,unit_concept_id,,Yes
measurement,measurement_concept_id,2000000018,Del13 (Isolated monosomy 13) [identifier] in bone marrow,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000018,Del13 (Isolated monosomy 13) [identifier] in bone marrow,,,value_as_concept_id,Yes,
measurement,measurement_concept_id,2000000019,Del13 (Isolated monosomy 13) cells/100 cells in bone marrow,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000019,Del13 (Isolated monosomy 13) cells/100 cells in bone marrow,,,unit_concept_id,,Yes
measurement,measurement_concept_id,2000000020,t(4;14)(p16;q32) [identifier] in Bone marrow,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000020,t(4;14)(p16;q32) [identifier] in Bone marrow,,,value_as_concept_id,Yes,
measurement,measurement_concept_id,2000000021,Other cytogenetic abnormalities [identifier] in the absence of IgH translocations or trisomy or monosomy 14,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000022,t(4;14)(p16;q32) cells/100 cells in Bone marrow,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000022,t(4;14)(p16;q32) cells/100 cells in Bone marrow,,,unit_concept_id,,Yes
observation,observation_concept_id,2000000023,Toxicity value,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000000023,Toxicity value,,,value_as_concept_id,Yes,
observation,observation_concept_id,2000000024,Outcome of adverse event,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000000024,Outcome of adverse event,,,value_as_concept_id,Yes,
measurement,measurement_concept_id,2000000028,QLQ-C30 Global Health Status change from baseline,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000907,Quality of life,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000029,QLQ-C30 Physical Functioning change from baseline,observation,observation_concept_id,,,
